#options: 480x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:94 out:94 type:P dur:2 cpbdur:2 q:27.73 aq:23.16 tex:32736 mv:5843 misc:333 imb:169 pmb:397 smb:124 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:27.69 aq:22.84 tex:8239 mv:4097 misc:584 imb:53 pmb:400 smb:237 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:27.76 aq:25.04 tex:14329 mv:4852 misc:451 imb:110 pmb:370 smb:210 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:27.84 aq:23.18 tex:42728 mv:6179 misc:237 imb:370 pmb:320 smb:0 d:- ref:0 w:6,71,-15,5,35,-13,34,-9 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:27.87 aq:25.41 tex:31730 mv:5655 misc:375 imb:242 pmb:293 smb:155 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:27.77 aq:23.10 tex:35259 mv:6094 misc:327 imb:302 pmb:293 smb:95 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:27.71 aq:22.84 tex:30230 mv:6023 misc:315 imb:210 pmb:353 smb:127 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:27.79 aq:21.04 tex:24661 mv:5662 misc:405 imb:209 pmb:360 smb:121 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:27.82 aq:23.97 tex:21134 mv:5492 misc:406 imb:164 pmb:355 smb:171 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:27.87 aq:22.35 tex:27122 mv:5665 misc:373 imb:225 pmb:329 smb:136 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:27.88 aq:21.36 tex:36515 mv:6279 misc:334 imb:249 pmb:323 smb:118 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:27.88 aq:20.87 tex:26573 mv:4998 misc:429 imb:168 pmb:365 smb:157 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:27.85 aq:20.86 tex:17246 mv:5414 misc:428 imb:135 pmb:396 smb:159 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:27.85 aq:21.75 tex:21518 mv:5517 misc:517 imb:156 pmb:362 smb:172 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:27.90 aq:23.16 tex:20763 mv:5698 misc:459 imb:172 pmb:354 smb:164 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:27.90 aq:19.91 tex:55119 mv:6169 misc:224 imb:381 pmb:308 smb:1 d:- ref:0 w:6,71,-16,4,19,-25,16,-1 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:27.86 aq:19.39 tex:27056 mv:5639 misc:441 imb:153 pmb:380 smb:157 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:27.83 aq:18.86 tex:17075 mv:4480 misc:597 imb:104 pmb:363 smb:223 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:27.81 aq:20.94 tex:17577 mv:4520 misc:559 imb:91 pmb:368 smb:231 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:27.94 aq:20.77 tex:17912 mv:4296 misc:624 imb:88 pmb:352 smb:250 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:27.94 aq:21.01 tex:21137 mv:5254 misc:577 imb:116 pmb:386 smb:188 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:27.90 aq:22.14 tex:15367 mv:4853 misc:588 imb:99 pmb:389 smb:202 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:27.85 aq:21.61 tex:21178 mv:5545 misc:517 imb:142 pmb:402 smb:146 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:27.81 aq:21.69 tex:11042 mv:3916 misc:682 imb:72 pmb:355 smb:263 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:27.78 aq:22.47 tex:16598 mv:4730 misc:568 imb:141 pmb:376 smb:173 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:27.73 aq:23.50 tex:18361 mv:5261 misc:586 imb:165 pmb:363 smb:162 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:27.71 aq:24.02 tex:43950 mv:6220 misc:438 imb:321 pmb:274 smb:95 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:27.63 aq:21.79 tex:60864 mv:6588 misc:228 imb:385 pmb:305 smb:0 d:- ref:0 w:5,35,-13,6,74,-21,77,-27 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:27.59 aq:22.68 tex:24270 mv:5465 misc:513 imb:189 pmb:361 smb:140 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:27.55 aq:22.70 tex:21541 mv:5626 misc:553 imb:171 pmb:372 smb:147 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:27.63 aq:21.35 tex:33060 mv:6476 misc:424 imb:290 pmb:331 smb:69 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:27.78 aq:22.06 tex:27699 mv:5698 misc:443 imb:229 pmb:367 smb:94 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:27.77 aq:22.14 tex:25761 mv:5701 misc:466 imb:224 pmb:356 smb:110 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:27.74 aq:22.09 tex:21500 mv:5179 misc:545 imb:166 pmb:379 smb:145 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:27.77 aq:23.64 tex:19018 mv:4930 misc:604 imb:142 pmb:361 smb:187 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:27.78 aq:23.45 tex:38917 mv:5355 misc:424 imb:299 pmb:291 smb:100 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:27.78 aq:23.85 tex:42913 mv:5624 misc:391 imb:306 pmb:286 smb:98 d:- ref:0 ;
in:132 out:131 type:P dur:2 cpbdur:2 q:27.75 aq:24.19 tex:43065 mv:5878 misc:345 imb:316 pmb:292 smb:82 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:27.76 aq:25.19 tex:29295 mv:6815 misc:482 imb:142 pmb:411 smb:137 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:27.77 aq:22.70 tex:54067 mv:5764 misc:225 imb:442 pmb:248 smb:0 d:- ref:0 w:3,9,-14,6,75,-23,76,-25 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:27.83 aq:20.82 tex:59145 mv:5516 misc:411 imb:326 pmb:263 smb:101 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:27.90 aq:20.42 tex:68314 mv:5112 misc:422 imb:169 pmb:373 smb:148 d:- ref:0 ;
in:136 out:136 type:P dur:2 cpbdur:2 q:27.91 aq:20.29 tex:27192 mv:4394 misc:566 imb:98 pmb:422 smb:170 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:28.02 aq:19.53 tex:17594 mv:3927 misc:623 imb:75 pmb:407 smb:208 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:28.15 aq:21.74 tex:25790 mv:4955 misc:543 imb:136 pmb:407 smb:147 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:28.30 aq:21.90 tex:19818 mv:4260 misc:610 imb:86 pmb:428 smb:176 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:28.30 aq:23.25 tex:28387 mv:4918 misc:519 imb:90 pmb:468 smb:132 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:28.26 aq:21.06 tex:17318 mv:4203 misc:607 imb:80 pmb:421 smb:189 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:28.25 aq:22.75 tex:19233 mv:4829 misc:610 imb:96 pmb:429 smb:165 d:- ref:0 ;
in:143 out:143 type:P dur:2 cpbdur:2 q:28.22 aq:24.13 tex:21412 mv:4545 misc:595 imb:97 pmb:429 smb:164 d:- ref:0 ;
in:144 out:144 type:P dur:2 cpbdur:2 q:28.23 aq:25.46 tex:21449 mv:5147 misc:492 imb:92 pmb:478 smb:120 d:- ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:28.19 aq:21.74 tex:116479 mv:6094 misc:235 imb:347 pmb:343 smb:0 d:- ref:0 w:5,35,-12,6,70,-12,69,-11 ;
in:146 out:146 type:P dur:2 cpbdur:2 q:28.16 aq:21.92 tex:24327 mv:4532 misc:549 imb:73 pmb:483 smb:134 d:- ref:0 ;
in:147 out:147 type:P dur:2 cpbdur:2 q:28.14 aq:21.74 tex:15807 mv:4016 misc:641 imb:59 pmb:468 smb:163 d:- ref:0 ;
in:148 out:148 type:P dur:2 cpbdur:2 q:28.12 aq:22.13 tex:37069 mv:5280 misc:395 imb:161 pmb:466 smb:63 d:- ref:0 ;
in:149 out:149 type:P dur:2 cpbdur:2 q:28.45 aq:23.10 tex:19749 mv:4140 misc:591 imb:57 pmb:472 smb:161 d:- ref:0 ;
in:150 out:150 type:P dur:2 cpbdur:2 q:28.44 aq:22.45 tex:23154 mv:4507 misc:571 imb:106 pmb:451 smb:133 d:- ref:0 ;
